nimi;voimassaolon_alkamispaiva
Tuntee hyvin kansallisen rokotusohjelman ja muut lapsille suunnatut rokotukset;2022-06-06
Tietää kehitysvammahuollon ja muiden lasten terveyden kannalta tärkeiden toimijoiden kuten lastensuojelun, sosiaalityön, kouluterveydenhuollon ja kolmannen sektorin toimenkuvan;2022-06-06
Tuntee lastensuojelulain;2022-06-06
Osaa järjestää lapselle ja perheelle apua eri toimijoilta;2022-06-06
Osaa toimia koulun, poliisin ja sosiaalitoimen kanssa;2022-06-06
Osaa tehdä lastensuojelu- ja rikosilmoituksen;2022-06-06
Toimii lasten parhaaksi;2022-06-06
Ymmärtää kasvun eri vaiheet: imeväisiän, lapsuuden ja murrosiän kasvu ja niihin vaikuttavat tekijät;2022-06-06
Tietää tavallisimmat kasvuun ja painoon vaikuttavat sairaudet kasvun eri vaiheissa ja ymmärtää, milloin tulee epäillä sairautta kasvukäyrän poikkeavuuden perusteella;2022-06-06
Ymmärtää sikiön kasvuhäiriön merkityksen myöhemmälle kasvulle ja muulle terveydelle;2022-06-06
Tunnistaa normaalin ja poikkeavan sukupuolisen ja puberteettikehityksen häiriöt ja osaa käynnistää diagnostiset selvitykset;2022-06-06
Osaa hoitaa ja selittää tavallisimmat endokriiniset sairaudet: diabetes, hypotyreoosi, ennenaikainen adrenarke, lihavuus ja hyperlipidemia;2022-06-06
Osaa epäillä ja pyytää ohjeita harvinaisempien endokriinisten sairauksien hoidosta;2022-06-06
Ymmärtää yleissairauksien ja niiden hoitojen (esim. glukokortikoidien ja sytostaattien) vaikutukset endokriinisiin toimintoihin;2022-06-06
Osaa mitata eri-ikäiset lapset (pituus, paino, päänympärys, vyötärönympärys, istumakorkeus);2022-06-06
Osaa tulkita ja selittää kasvukäyrän sekä sen poikkeamat ja tuntee seulasäännöt;2022-06-06
Ymmärtää luustoikäkuvauksen indikaatiot ja tuloksen hyödyntämisen kasvun arviossa;2022-06-06
Osaa määrittää nuoren puberteettiasteen ja arvioida sukuhormonien muita näkyviä vaikutuksia kehossa sekä ymmärtää adrenarken ja murrosiän eron;2022-06-06
Osaa ohjata potilasta ja perhettä diabeteksen hoidossa ja tuntee glukoosisensoroinnin ja insuliinipumppuhoidon perusperiaatteet;2022-06-06
Osaa hoitaa akuutit verensokeriongelmat;2022-06-06
Ymmärtää ja osaa selittää potilaalle ja perheelle, että lyhytkasvuisen lapsen hoidon tavoitteena ei ole normaalius vaan terveyshyöty;2022-06-06
Syyllistämisen sijaan osaa motivoida ja tukea lihavaa lasta ja tämän perhettä;2022-06-06
Osaa tukea lapsen tervettä kehitystä perussairaudesta riippumatta;2022-06-06
Osaa motivoida ja tukea kroonisesti sairaan lapsen hoitokomplianssia;2022-06-06
Tietää lääkeaineiden metabolian erot eri-ikäisillä lapsilla;2022-06-06
Tuntee eri-ikäisille sopivat lääkkeiden annostelumuodot;2022-06-06
Tietää tavallisimmat lapsen ikään liittyvät rajoitukset lääkkeiden käytössä;2022-06-06
Tuntee käsitteet: harvinaislääkkeet, tartuntatautilääkkeet;2022-06-06
Tuntee lasten lääketutkimusten perusteet ja lastenlääkeasetuksen;2022-06-06
Tuntee tavallisimmat lasten myrkytysten aiheuttajat ja oireet;2022-06-06
Osaa laskea lääkeannokset suhteutettuna lapsen painoon tai pinta-alaan;2022-06-06
Osaa hakea tietoa lääkkeiden yhteisvaikutuksista;2022-06-06
Osaa tärkeimpien myrkytysten ensihoidon;2022-06-06
Osaa hakea lisätietoa myrkytysten diagnostiikasta ja hoidosta;2022-06-06
Ymmärtää, että lääkitysten kannalta lapsi ei ole pieni aikuinen;2022-06-06
Tietää ummetuksen diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tietää laktoosi-intoleranssin diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tietää toiminnallisten vatsavaivojen diagnostiikan (Rooma IV), hoidon ja seurannan perusteet;2022-06-06
Tietää keliakian diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tietää tulehduksellisten suolistosairauksien diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tietää imeväisikäisen gastroesofagiaalisen refluksin diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tietää isomman lapsen refluksitaudin diagnostiikan, hoidon ja seurannan perusteet;2022-06-06
Tuntee IBD:n pahenemisvaiheiden eri hoitomuodot;2022-06-06
Osaa selvitellä kohonneiden maksa-arvojen etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Osaa selvitellä imeväisen poikkeavan keltaisuuden etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Osaa selvitellä pitkittyneen ripulin etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Osaa selvitellä pitkittyneen vatsakivun etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Osaa selvitellä imeväisen syömisongelmien etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Osaa selvitellä koliikin etiologiaa ja suunnitella jatkotoimia sekä seurantaa;2022-06-06
Pystyy arvioimaan lapsen ravitsemustilaa;2022-06-06
Pystyy arvioimaan vatsan ultraäänen indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan gastroskopian ja ileo-kolonoskopian indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan kapseliendoskopian indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan ruokatorven pH-impedanssin indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan videofluorografian (nielemisfunktio) indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan ruokatorvipassagen indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan ohutsuolipassagen indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan anomanometrian indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan anografian indikaatiot ja tekemään lähetteen;2022-06-06
Pystyy arvioimaan rektumin imubiopsian (Hirschsprungin tauti) indikaatiot ja tekemään lähetteen;2022-06-06
Osaa suunnitella enteraalisen ja parenteraalisen ravitsemuksen eri-ikäisille lapsille;2022-06-06
Suhtautuu supportoiden ja ratkaisukeskeisesti toiminnallisiin vatsavaivoihin;2022-06-06
Tuntee perustiedot ihmisen kromosomistosta ja geenien rakenteesta ja toiminnasta;2022-06-06
Tuntee perustiedot periytymistavoista, kromosomitutkimusten ja tavallisimpien diagnostisten tutkimusten indikaatioista;2022-06-06
Ymmärtää käsitteet kromosomitutkimus, molekyylikaryotyypitys, polymorfismi, geenitutkimus, eksomisekvensointi, koko genomin sekvensointi;2022-06-06
Tietää milloin epäillä periytyvää sairautta;2022-06-06
Osaa tunnistaa selkeästi dysmorfiset piirteet ja kuvailla ne;2022-06-06
Osaa piirtää sukupuun;2022-06-06
Osaa hyödyntää kansainvälisiä genetiikan tietokantoja diagnostiikassa (esim. OMIM, GeneTests, Orphanet, GeneReviews, EuroGenTest);2022-06-06
Osaa antaa perheelle perustietoja periytyvyydestä ja ohjata tarvittaessa geneetikon konsultaatioon;2022-06-06
Tietää perustiedot verta muodostavien elinten toiminnasta ja verenkuvan osista ja tunnistaa tavalliset löydökset perifeerisessä veressä;2022-06-06
Tietää akuutin anemian differentiaalidiagnostiikan periaatteet ja osaa raudanpuuteanemian hoidon;2022-06-06
Tietää leuko- ja neutropenian ja leukosytoosin tavallisimmat syyt ja osaa aloittaa erotusdiagnostiset tutkimukset;2022-06-06
Tuntee trombosytopenian erotusdiagnostiikan ja hoidon perusperiaatteet;2022-06-06
Tuntee hemostaasin perusmekanismit ja sen tavallisimmat häiriöt, osaa aloittaa vuoto- ja tukostaipumuksen selvittelyt ja toteuttaa antikoagulanttihoidon seurantoineen;2022-06-06
Tunnistaa hemolyyttisen tilan;2022-06-06
Tuntee maahanmuuttajapotilaiden tavallisimmat hematologiset ongelmat;2022-06-06
Tietää verituotteiden käytön periaatteet;2022-06-06
Tunnistaa tavallisimmat syöpään viittaavat oireet ja löydökset;2022-06-06
Tuntee lapsuusiän tavallisimpien maligniteettien ilmaantuvuuden (leukemiat, solidit tuumorit, aivotuumorit) ja tietää miten toimia epäiltäessä niitä;2022-06-06
Tuntee lapsisyöpäpotilaan tavallisimmat akuutit ongelmat (infektiot ja lääkkeiden sivuvaikutukset) ja tietää miten toimia epäiltäessä niitä;2022-06-06
Tuntee immunosupressiopotilaan eristyskäytännöt;2022-06-06
Tuntee maligniteettipotilaiden jälkiseurannan tarpeen ja perustiedot sen toteuttamisesta.;2022-06-06
Osaa suorittaa luuydinpunktion;2022-06-06
Osaa neulan laiton infuusioporttiin ja infuusioportin käytön;2022-06-06
Osaa antaa IT-lääkkeet;2022-06-06
Osaa suunnitella ja toteuttaa parenteraalisen ja enteraalisen ravitsemuksen;2022-06-06
Osaa suunnitella syöpää sairastavan lapsen kivun hoidon;2022-06-06
Pystyy olemaan asiantuntijan roolissa ja lapsen ja perheen tukena vaikeissa tilanteissa;2022-06-06
Tietää tavalliset lasten ihotaudit ja ihottumat ja niiden patogeneesin;2022-06-06
Tunnistaa tavalliset eksanteemat ja infektioihin liittyvät ihomuutokset;2022-06-06
Tunnistaa ja osaa ohjata jatkoarviota tarvitsevat synnynnäiset luomet, hemangioomat ym.;2022-06-06
Osaa diagnosoida ja hoitaa tavalliset ihotaudit, kuten akne, atooppinen ekseema, molluskat, urtikaria ja karvoituksen ongelmat;2022-06-06
Tunnistaa Henoch-Schönleinin purpuran, lupuksen ja muiden systeemisairauksien ihomuutokset;2022-06-06
Osaa epäillä herpestä ja hiivatulehdusta sekä ohjeistaa diagnostiset tutkimukset;2022-06-06
Ymmärtää pitkäaikaisten ihosairauksien merkityksen lapsipotilaan elämänlaadulle;2022-06-06
Tietää luontaisen ja hankitun immuniteetin tärkeimmät komponentit;2022-06-06
Tuntee terveen lapsen immunologisen kehityksen, sekä luontaisen että hankitun immuniteetin suhteen;2022-06-06
Tietää milloin tulee epäillä tavallisimpia immuunipuutoksia;2022-06-06
Tuntee tavallisimpien autoimmuunisairauksien ja autoinflammatoristen sairauksien keskeisimmän patofysiologian;2022-06-06
Ymmärtää, mitä rokotuksessa tapahtuu;2022-06-06
Ymmärtää, mitä allergisessa reaktiossa tapahtuu;2022-06-06
Hallitsee perustiedot biologisten lääkkeiden vaikutuksista ja sivuvaikutusriskeistä;2022-06-06
Osaa aloittaa perustutkimukset epäiltäessä agammaglobulinemiaa ja hypogammaglobulinemiaa;2022-06-06
Osaa aloittaa perustutkimukset epäiltäessä primaaria T-soludefektiä;2022-06-06
Osaa aloittaa perustutkimukset epäiltäessä kombinoitua immuunipuutosta;2022-06-06
Osaa aloittaa perustutkimukset epäiltäessä komplementtipuutosta;2022-06-06
Osaa tulkita iänmukaiset laboratoriotulokset immunoglobuliineista alaluokkineen;2022-06-06
Osaa tulkita iänmukaiset laboratoriotulokset lymfosyyttien erittelylaskennasta;2022-06-06
Osaa tulkita iänmukaiset laboratoriotulokset tavallisimmista rokotevasteista;2022-06-06
Tuntee hengitysteiden virusinfektioiden etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee välikorvatulehduksen etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee keuhkokuumeen etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee hinkuyskän etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee ripulitautien etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee yleistyneiden virus- ja rokkotautien etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee virtsatieinfektioiden etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tuntee ihoinfektioiden etiologian, epidemiologian ja oireet ja osaa toteuttaa niiden diagnostiikan ja hoidon;2022-06-06
Tietää milloin yleisimmissä infektioissa tehdään mikrobiologista diagnostiikkaa ja osaa valita tarpeelliset tutkimukset;2022-06-06
Tuntee Suomen yleisen rokotusohjelman ja osaa hakea ratkaisuja rokotuksia koskeviin ongelmatilanteisiin;2022-06-06
Tietää tavallisimmat äkillisen ja pitkittyneen kuumeilun syyt ja osaa aloittaa niiden selvittelyn sekä imeväisellä että isommalla lapsella;2022-06-06
Tuntee Kawasakin taudin ja Covid-19-infektioon liittyvään MIS-C-syndrooman kliiniset piirteet ja diagnostiset kriteerit ja pystyy aloittamaan ensilinjan hoidon;2022-06-06
Tietää, milloin epäillä luu- ja nivelinfektioita ja osaa käynnistää niiden diagnostiikan ja hoidon;2022-06-06
Tietää, milloin epäillä hepatiitteja ja osaa käynnistää niiden diagnostiikan ja hoidon;2022-06-06
Tietää, milloin epäillä sepsistä ja osaa käynnistää niiden diagnostiikan ja hoidon;2022-06-06
Tietää, milloin epäillä keskushermostoinfektioita ja osaa käynnistää niiden diagnostiikan ja hoidon;2022-06-06
Tietää, milloin epäillä herpesryhmän virusten aiheuttamia infektioita ja osaa käynnistää niiden diagnostiikan ja hoidon;2022-06-06
Tuntee tavallisimmat bakteeriääkkeet ja niiden käyttöindikaatiot avo- ja sairaalahoidossa;2022-06-06
Tuntee tavallisimmat viruslääkkeet ja niiden käyttöindikaatiot avo- ja sairaalahoidossa;2022-06-06
Tuntee tavallisimmat parasiittilääkkeet ja niiden käyttöindikaatiot avo- ja sairaalahoidossa;2022-06-06
Tuntee tavallisimmat lasten sairaalainfektiot, niiden aiheuttajat ja tarttumistavat sekä pyrkii niiden ehkäisyyn;2022-06-06
Tietää lasten infektiokierteen tavallisimmat syyt ja osaa suunnitella perustutkimukset;2022-06-06
Tuntee maahanmuuttajalasten tavallisimmat infektio-ongelmat;2022-06-06
Tietää, miten menetellään epäiltäessä tuberkuloosia tai sille altistumista;2022-06-06
Tunnistaa infektioon liittyvän sisään- ja uloshengitysvaikeuden, osaa määritellä hengenahdistuksen vaikeusasteen ja valita tarvittavan hoidon ja seurannan;2022-06-06
Osaa suorittaa laskimon kanyloinnin, rakkopunktion ja lumbaalipunktion;2022-06-06
Osaa käsihygienian ja suojautumispukeutumisen käytännössä;2022-06-06
Osaa ottaa huomioon tärkeimpien infektioiden epidemiologian työn resursoinnissa;2022-06-06
Ymmärtää antimikrobihoidon kohdentamisen merkityksen resistenssin kehittymisen kannalta;2022-06-06
Ymmärtää sikiöaikaisen verenkierron ja siinä tapahtuvat muutokset syntymän jälkeen;2022-06-06
Osaa tavallisimmat synnynnäiset rakenteelliset sydänviat, niiden oireet ja kliiniset löydökset sekä hoidon perusperiaatteet;2022-06-06
Osaa tavallisimmat rytmi- ja johtumishäiriöt (SVT, VT, lisälyönnit, eteis-kammiokatkokset) ja niiden hoidon;2022-06-06
Tietää sydämen vajaatoiminnan oireet ja löydökset ja osaa aloittaa akuutin lääkehoidon;2022-06-06
Osaa tutkia toiminnallisten oireiden (rintapistos, muljahtelu, tykyttelyt, pyörtyminen) syitä ja tunnistaa lisätutkimuksia tarvitsevat potilaat;2022-06-06
Osaa tärkeimmät verisuonianomaliat ja niiden oireet/löydökset;2022-06-06
Osaa endo-, myo- ja perikardiitin etiologiat, oireet, diagnostiikan ja hoidon;2022-06-06
Tunnistaa perinnöllisten rytmihäiriösairauksien ja sydänlihassairauksien oireet ja löydökset;2022-06-06
Osaa auskultoida sydämen, mitata neliraajapaineet ja palpoida perifeeriset pulssit sekä tulkita tutkimusten tulokset;2022-06-06
Osaa tulkita sydämestä kuuluvat äänet (S1, S2, S3 ja S4, jakaumat, sivuäänet);2022-06-06
Osaa aloittaa ensihoidon, järjestää lisätutkimukset sekä suunnitella jatkohoidon ja tarvittaessa kuljetuksen, kun lapsella epäillään verenkierrollisesti merkittävää sydänvikaa;2022-06-06
Osaa tulkita sydämen tilaa thorax-röntgenkuvasta;2022-06-06
Osaa tulkita lapsen EKG:n;2022-06-06
Osaa perinnöllisten rytmi- ja sydänlihassairauksien seulonnan periaatteet ja hoitoon ohjaamisen;2022-06-06
Osaa ottaa huomioon synnynnäisten rakenteellisten sydänvikojen sekä perinnöllisten sydänlihas- ja rytmihäiriösairauksien vaikutuksen lapsen ja perheen elämään;2022-06-06
Osaa toimia osana ja tarvittaessa johtaa moniammatillista työryhmää;2022-06-06
Osaa erotusdiagnostiset vaihtoehdot hengenahdistuksen, yskän ja hengitysäänten poikkeavuuden taustalla;2022-06-06
Osaa astman diagnostiikan ja hoidon eri ikäkausina;2022-06-06
Osaa bronkopulmonaalisen dysplasian (BPD) pitkäaikaishoidon ja seurannan;2022-06-06
Ymmärtää allergian merkityksen hengitystiesairauksissa;2022-06-06
Tunnistaa synnynnäiset ilmatie- ja keuhkoanomaliat;2022-06-06
Osaa epäillä harvinaisia keuhkosairauksia ja tuntee niiden diagnostiikan (kystinen fibroosi, interstitiellit keuhkosairaudet, värekarvataudit);2022-06-06
Osaa neuromuskulaarisairauden vaikutukset keuhkofunktioon;2022-06-06
Osaa uniapnean diagnostiikan ja hoidon;2022-06-06
Osaa keuhkojen kuvantamistutkimusten käyttöindikaatiot;2022-06-06
Osaa ilmateiden tähystystutkimusten käyttöindikaatiot;2022-06-06
Ymmärtää säännöllistä hengitystukea tarvitsevan lapsen yleisimmät ongelmat;2022-06-06
Tunnistaa hengitysmekaniikan ja auskultaatiolöydökset sekä osaa kuvailla ne potilaskertomuksessa;2022-06-06
Osaa erotella äkillisen sisäänhengitys- ja uloshengitysvaikeuden ja aloittaa niihin sopivan hoidon;2022-06-06
Osaa keuhkofunktiokokeiden tulkinnan (PEF, spirometria, IOS, juoksurasitus, altistuskokeet, NO-mittaus, impedanssipneumografia);2022-06-06
Tunnistaa hengitysvajauksen ja osaa happeutumisen sekä ventilaation tukemisen;2022-06-06
Osaa arvioida hoitomyöntyvyyttä ja tukea lasta, nuorta ja perhettä kroonisten keuhkosairauksien hoidossa;2022-06-06
Tietää ja tunnistaa tärkeimmät korvissa, nenässä ja kurkussa esiintyvät synnynnäiset rakenteelliset poikkeavuudet;2022-06-06
Tuntee äkillisen ja toistuvan korvatulehduksen oireet, tärkeimmät aiheuttajat ja hoitoperiaatteet;2022-06-06
Tuntee välikorvatulehduksen komplikaatiot;2022-06-06
Tietää kuulonalenemaan viittaavat löydökset ja siihen liittyvät sairaudet lapsella;2022-06-06
Tuntee allergisen nuhan oireet, diagnostiikan ja hoidon;2022-06-06
Tuntee sinuiitin oireet, diagnostiikan, hoidon ja komplikaatiot;2022-06-06
Tuntee tonsilliitin etiologian ja hoidon;2022-06-06
Tuntee parotiitin etiologian ja hoidon;2022-06-06
Tunnistaa syvän kaulainfektion ja osaa aloittaa hoidon;2022-06-06
Osaa fasiaalipareesin erotusdiagnostiikan ja tutkimukset;2022-06-06
Tunnistaa epiglottiitin ja osaa aloittaa hoidon;2022-06-06
Osaa epäillä hengitysteiden ja ruokatorven vierasesinettä ja osaa järjestää hoidon yhteistyössä knk-lääkärin kanssa;2022-06-06
Tunnistaa vaikean ilmatien ja osaa varautua ennakoiden ilmatien turvaamiseen;2022-06-06
Tietää trakeostomian indikaatiot;2022-06-06
Osaa diagnosoida PFAPA-jaksokuumeen ja kertoa vanhemmille tonsillektomiasta sen hoitona;2022-06-06
Tuntee lasten kuorsauksen erotusdiagnostiikan, jatkotutkimukset ja hoidon;2022-06-06
Tunnistaa kaulakystat ja -fistelit sekä osaa ohjelmoida niiden hoidon;2022-06-06
Tuntee vastasyntyneen, neuvolan ja kouluterveydenhuollon kuuloseulat;2022-06-06
Tuntee huuli-suulakihalkioihin liittyvät ongelmat;2022-06-06
Osaa kireän kielijänteen oireet, löydökset ja hoidon;2022-06-06
Osaa tutkia lapsen korvakäytävän, tehdä tärykalvostatuksen ja arvioida välikorvan tilaa (otoskopia ja tympanometria;2022-06-06
Osaa puhdistaa korvakäytävän;2022-06-06
Osaa ottaa näytteen välikorvaeritteestä;2022-06-06
Osaa tehdä kuulonseulontatutkimuksen lapselle ja tarvittaessa ohjata jatkotutkimuksiin;2022-06-06
Osaa tulkita audiometrin;2022-06-06
Osaa tutkia nenän limakalvot ja ottaa pyyhkäisynäytteen nenäkuorikon pinnalta tai nenän kautta takanielusta;2022-06-06
Osaa aloittaa nenäverenvuodon hoidon ja tarvittaessa ohjata jatkohoitoon;2022-06-06
Osaa tutkia lapsen nielun ja ottaa pyyhkäisynäytteen nielusta;2022-06-06
Osaa arvioida kurkunpään tilaa;2022-06-06
Tunnistaa kurkunpään tasolta aiheutuvan hengitysvaikeuden ja osaa hoitaa sitä;2022-06-06
Huomioi korvien, nenän ja kurkun tutkimisen haasteet lapsipotilaalla;2022-06-06
Osaa luu- ja nivelinfektioiden diagnostiikan ja hoidon;2022-06-06
Osaa tunnistaa pleuraempyeeman kirurgisen hoidon tarpeen;2022-06-06
Osaa arvioida syvän abskessin kirurgisen hoidon tarpeen;2022-06-06
Osaa akuutin vatsan kirurgiset syyt eri ikäkausina;2022-06-06
Osaa gastrointestinaalisen vuodon hoidon periaatteet;2022-06-06
Tunnistaa pylorusstenoosin ja osaa ohjelmoida preoperatiivisen hoidon;2022-06-06
Tuntee suolitukoksen oireet, etiologian, diagnostiikan ja hoidon periaatteet;2022-06-06
Tuntee GE-leikattujen vastasyntyneiden ja imeväisten erityispiirteet ja ongelmat (esofagusatresia, duodenaaliatresia, gastroskiisi, omfaloseele);2022-06-06
Tunnistaa kraniosynostoosin;2022-06-06
Tietää ventrikuloperitoneaalishunttipotilaan ongelmat;2022-06-06
Osaa kallovammapotilaan seurannan ja hoidon periaatteet;2022-06-06
Osaa postoperatiivisen kivun hoidon;2022-06-06
Osaa akuutisti vuotavan potilaan hoidon perusperiaatteet;2022-06-06
Osaa palovammapotilaan neste- ja kivun hoidon;2022-06-06
Osaa tyhjentää pinnallisen abskessin;2022-06-06
Osaa reponoida nivustyrän;2022-06-06
Osaa antaa ohjeet tyypin 1 diabetesta sairastavan lapsen insuliinihoidosta ennen anestesiaa vaativaa toimenpidettä;2022-06-06
Pyrkii tehokkaaseen ja turvalliseen kivun hoitoon;2022-06-06
Huomioi yhteistyön ja tiedonkulun merkityksen lastahoitavan pediatrisen, kirurgisen ja anestesiologisen tiimin kesken;2022-06-06
Hahmottaa kirurgisen hoidon tarpeen ja osaa informoida lasta ja perhettä;2022-06-06
Tuntee eri ikäkausina ilmenevät lapsen käyttäytymisen häiriöt;2022-06-06
Tietää kastelun taustatekijät ja erotusdiagnostiikan;2022-06-06
Tietää ummetuksen taustatekijät ja erotusdiagnostiikan;2022-06-06
Tunnistaa stereotyyppisen käytöksen;2022-06-06
Tunnistaa TIC-oireen ja Touretten oireyhtymän;2022-06-06
Tunnistaa ahdistuneisuushäiriöiden eri tyypit;2022-06-06
Tunnistaa mielialahäiriöt;2022-06-06
Tietää somaattisiin sairauksiin liittyvistä psykiatrisista ongelmista;2022-06-06
Tietää itsemurhan riskitekijät lapsilla ja nuorilla;2022-06-06
